"Region",".model","sigma2","log_lik","AIC","AICc","BIC","MSE","AMSE","MAE"
"All California","ets",0.769614424746548,-663.70896529254,1357.41793058508,1362.03331520047,1399.23030672681,17835.63271927,16806.2523464631,0.600770273127717
"All California","arima",10143.8644257703,-723.247987701545,1450.49597540309,1450.59853950565,1456.07095888865,NA,NA,NA
"Northern CA Hotspot","arima",3.03389881332938,-233.260509017554,476.521018035108,477.061558575649,490.331887709097,NA,NA,NA
"Northern CA Hotspot","ets",3.49448926424125,-347.839109722176,725.678219444351,730.384101797292,767.238488811336,3.07988884306008,3.11051812944817,0.964170323076871
"Southern CA Hotspot","arima",54.3546503347102,-406.085618039191,816.171236078382,816.274684354245,821.729483064605,NA,NA,NA
"Southern CA Hotspot","ets",54.8246974511029,-521.595725283005,1049.19145056601,1049.40014621818,1057.52882104535,53.9032739645298,54.3293921470819,3.48426652503869
